New Per Budget Aprobado,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KPIS (ARS),ene-25,feb-25,mar-25,abr-25,may-25,jun-25,jul-25,ago-25,sept-25,oct-25,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26,may-26,jun-26,jul-26,ago-26,sept-26,oct-26,nov-26,dic-26
,,Units Economics (ARS k),ene-25,feb-25,mar-25,abr-25,may-25,jun-25,jul-25,ago-25,sept-25,oct-25,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26,may-26,jun-26,jul-26,ago-26,sept-26,oct-26,nov-26,dic-26
,,BoP MRR,513.120,508.549,499.077,486.330,527.981,527.305,549.993,535.307,523.885,526.970,514.437,505.105,527.861,520.387,514.347,538.628,536.575,536.879,563.950,568.966,576.391,604.779,614.843,626.064
,,New,14.624,11.599,12.399,65.152,17.836,41.724,4.626,8.779,23.496,8.348,10.303,42.389,12.165,13.452,43.279,16.790,18.153,44.475,21.698,23.152,43.725,26.787,28.170,51.122
,,New Clients,9.184,8.089,7.999,13.324,12.194,8.272,6.310,5.745,6.543,5.684,8.177,8.349,8.947,10.107,11.841,12.999,14.132,15.939,17.100,18.268,20.038,21.171,22.278,24.137
,,Upsells,(194),26,(745),1.462,354,(2.718),(5.112),(1.028),(624),113,490,480,989,1.113,1.301,1.430,1.626,1.906,2.113,2.324,2.618,2.833,3.048,3.371
,,Cross-selling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Price Movements,2.711,2.852,3.954,1.715,3.143,2.140,2.289,3.076,2.651,2.206,1.635,1.431,2.229,2.232,2.359,2.361,2.395,2.445,2.485,2.560,2.613,2.783,2.845,2.953
,,Expired Discounts,2.923,633,1.192,48.652,2.145,34.030,1.138,986,14.926,345,0,32.129,0,0,27.778,0,0,24.185,0,0,18.457,0,0,20.661
,,Churn,(8.095),(9.145),(7.203),(10.343),(10.704),(10.636),(9.047),(10.344),(9.758),(10.042),(9.054),(9.244),(10.306),(10.291),(9.903),(10.360),(9.919),(9.991),(9.996),(10.093),(9.630),(10.143),(10.260),(10.325)
,,Inflation Impact,(11.100),(11.927),(17.943),(13.158),(7.808),(8.401),(10.264),(9.856),(10.654),(10.839),(10.581),(10.389),(9.334),(9.201),(9.095),(8.482),(7.930),(7.413),(6.687),(5.633),(5.707),(6.580),(6.690),(6.812)
,,EoP MRR,508.549,499.077,486.330,527.981,527.305,549.993,535.307,523.885,526.970,514.437,505.105,527.861,520.387,514.347,538.628,536.575,536.879,563.950,568.966,576.391,604.779,614.843,626.064,660.049
,,Net New,(4.571),(9.472),(12.747),41.651,(676),22.688,(14.685),(11.422),3.084,(12.533),(9.332),22.756,(7.474),(6.041),24.281,(2.053),304,27.071,5.015,7.426,28.388,10.064,11.221,33.986
,,Growth (MRR),"(0,89%)","(1,86%)","(2,55%)","8,56%","(0,13%)","4,30%","(2,67%)","(2,13%)","0,59%","(2,38%)","(1,81%)","4,51%","(1,42%)","(1,16%)","4,72%","(0,38%)","0,06%","5,04%","0,89%","1,31%","4,93%","1,66%","1,83%","5,43%"
,,Annualized Growth (MRR),"(10,18%)","(20,20%)","(26,69%)","168,07%","(1,53%)","65,78%","(27,73%)","(22,80%)","7,30%","(25,09%)","(19,72%)","69,69%","(15,73%)","(13,07%)","73,94%","(4,48%)","0,68%","80,46%","11,21%","16,84%","78,05%","21,90%","24,24%","88,58%"
,,% EBITDA,"46,82%","37,57%","34,01%","37,42%","25,32%","32,77%","20,16%","39,27%","26,04%","38,07%","21,81%","14,17%","12,70%","10,80%","14,48%","11,86%","13,68%","11,34%","11,01%","14,66%","17,72%","16,22%","20,36%","22,29%"
,,Rule Of,"36,64%","17,37%","7,32%","205,49%","23,80%","98,55%","(7,57%)","16,47%","33,34%","12,99%","2,09%","83,86%","(3,03%)","(2,27%)","88,42%","7,38%","14,36%","91,80%","22,22%","31,50%","95,77%","38,12%","44,59%","110,87%"
,,% New Clients,63%,70%,65%,20%,68%,20%,136%,65%,28%,68%,79%,20%,74%,75%,27%,77%,78%,36%,79%,79%,46%,79%,79%,47%
,,% Upsells,(1)%,0%,(6)%,2%,2%,(7)%,(110)%,(12)%,(3)%,1%,5%,1%,8%,8%,3%,9%,9%,4%,10%,10%,6%,11%,11%,7%
,,% Cross-selling,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
